ISIN;nom;ticker
FR0013154002;Sartorius Stedim Biotech;DIM
FR0013176526;Valeo;FR
FR0013181864;CGG;CGG
FR0013183985;GenSight Biologics;SIGHT
FR0013185857;Abeo;ABEO
FR0013214145;Smcp;SMCP
FR0013227113;Soitec Silicon;SOI
FR0013233012;Inventiva;IVA
FR0013252186;Plast. Val de Loire;PVL
FR0013258399;Balyo;BALYO
FR0013258662;Ald;ALD
FR0013269123;Rubis;RUI
FR0013280286;Biomerieux;BIM
FR0013326246;Unibail Rodamco Westfield;URW
FR0013357621;Wavestone;WAVE
FR0013379484;Solutions 30;S30
FR0013426004;Claranova;CLA
FR0013447729;Verallia;VRLA
FR0013451333;Francaise des jeux;FDJ
FR0013455482;Atland;ATLD
FR0013482791;Nacon;NACON
FR0013505062;Vantiva;VANTI
FR0013506730;Vallourec;VK
FR00140006O9;Solocal Group;LOCAL
FR0014000MR3;Eurofins Scient.;ERF
FR0014003FE9;Believe;BLV
FR0014003TT8;Dassault Systemes;DSY
FR0014003U94;Aramis Group;ARAMI
FR0014003VY4;HDF (Hydrogene de France);HDF
FR0014004L86;Dassault Aviation;AM
FR0014005AL0;Antin infra Partn;ANTIN
FR0014005HJ9;OVH;OVH
FR0014005SB3;Forsee Power;FORSE
FR0014008VX5;Euroapi;EAPI
FR0014009YQ1;Lhyfe;LHYFE
FR001400AJ45;Michelin;ML
FR001400BWV7;Technicolor Creative Studios;TCHCS
FR001400CFI7;Avenir Telecom;AVT
